,missing_count,missing_pct
ORIGIN_SX12_ATTRIBUTES,100121,100.0
ORIGIN_SN33,100121,100.0
ORIGIN_SX01_ATTRIBUTES,100121,100.0
ORIGIN_SX01,100121,100.0
ORIGIN_SN01_ATTRIBUTES,100121,100.0
ORIGIN_SN01,100121,100.0
ORIGIN_SX33_ATTRIBUTES,100121,100.0
ORIGIN_SX33,100121,100.0
ORIGIN_SN33_ATTRIBUTES,100121,100.0
ORIGIN_WV18_ATTRIBUTES,100121,100.0
ORIGIN_WV07_ATTRIBUTES,100121,100.0
ORIGIN_WV18,100121,100.0
ORIGIN_DASF_ATTRIBUTES,100121,100.0
ORIGIN_DASF,100121,100.0
ORIGIN_SX12,100121,100.0
ORIGIN_SN12_ATTRIBUTES,100121,100.0
ORIGIN_SN12,100121,100.0
ORIGIN_FRTH_ATTRIBUTES,100121,100.0
DEST_FMTM,100121,100.0
DEST_FMTM_ATTRIBUTES,100121,100.0
DEST_ACMH,100121,100.0
DEST_ACMH_ATTRIBUTES,100121,100.0
DEST_WT15,100121,100.0
DEST_WT14_ATTRIBUTES,100121,100.0
DEST_WT14,100121,100.0
DEST_WT13_ATTRIBUTES,100121,100.0
DEST_WT13,100121,100.0
DEST_WT11_ATTRIBUTES,100121,100.0
DEST_WT11,100121,100.0
DEST_WSF1_ATTRIBUTES,100121,100.0
DEST_WSF1,100121,100.0
DEST_WDF1_ATTRIBUTES,100121,100.0
DEST_WDF1,100121,100.0
DEST_GAHT_ATTRIBUTES,100121,100.0
DEST_GAHT,100121,100.0
DEST_ACSH_ATTRIBUTES,100121,100.0
DEST_ACSH,100121,100.0
ORIGIN_FRTH,100121,100.0
ORIGIN_FRGB_ATTRIBUTES,100121,100.0
ORIGIN_FRGB,100121,100.0
ORIGIN_SN53_ATTRIBUTES,100121,100.0
ORIGIN_SN03_ATTRIBUTES,100121,100.0
ORIGIN_SN03,100121,100.0
ORIGIN_SN02_ATTRIBUTES,100121,100.0
ORIGIN_SN02,100121,100.0
ORIGIN_ACSC_ATTRIBUTES,100121,100.0
ORIGIN_ACSC,100121,100.0
ORIGIN_ACMC_ATTRIBUTES,100121,100.0
ORIGIN_ACMC,100121,100.0
ORIGIN_WV20_ATTRIBUTES,100121,100.0
ORIGIN_WV20,100121,100.0
ORIGIN_WSFI_ATTRIBUTES,100121,100.0
ORIGIN_WSFI,100121,100.0
ORIGIN_WDFI_ATTRIBUTES,100121,100.0
ORIGIN_WDFI,100121,100.0
ORIGIN_FRGT_ATTRIBUTES,100121,100.0
ORIGIN_SN53,100121,100.0
ORIGIN_SX02,100121,100.0
ORIGIN_WT12_ATTRIBUTES,100121,100.0
ORIGIN_SX02_ATTRIBUTES,100121,100.0
ORIGIN_WT12,100121,100.0
ORIGIN_MDSF_ATTRIBUTES,100121,100.0
ORIGIN_MDSF,100121,100.0
ORIGIN_MDWM_ATTRIBUTES,100121,100.0
ORIGIN_MDWM,100121,100.0
ORIGIN_MDEV_ATTRIBUTES,100121,100.0
ORIGIN_MDEV,100121,100.0
ORIGIN_DAWM_ATTRIBUTES,100121,100.0
ORIGIN_DAWM,100121,100.0
ORIGIN_DAEV_ATTRIBUTES,100121,100.0
ORIGIN_DAEV,100121,100.0
ORIGIN_SX53_ATTRIBUTES,100121,100.0
ORIGIN_SX53,100121,100.0
ORIGIN_SX03_ATTRIBUTES,100121,100.0
ORIGIN_SX03,100121,100.0
DEST_WT15_ATTRIBUTES,100121,100.0
DEST_WT16,100121,100.0
DEST_WT16_ATTRIBUTES,100121,100.0
DEST_FRGB_ATTRIBUTES,100121,100.0
DEST_WT12_ATTRIBUTES,100121,100.0
DEST_WT12,100121,100.0
DEST_MDSF_ATTRIBUTES,100121,100.0
DEST_MDSF,100121,100.0
DEST_MDWM_ATTRIBUTES,100121,100.0
DEST_MDWM,100121,100.0
DEST_MDEV_ATTRIBUTES,100121,100.0
DEST_MDEV,100121,100.0
DEST_DAWM_ATTRIBUTES,100121,100.0
DEST_DAWM,100121,100.0
DEST_DAEV_ATTRIBUTES,100121,100.0
DEST_DAEV,100121,100.0
DEST_SX53_ATTRIBUTES,100121,100.0
DEST_SX53,100121,100.0
DEST_SX03_ATTRIBUTES,100121,100.0
DEST_FRGB,100121,100.0
DEST_FRTH,100121,100.0
DEST_SX02_ATTRIBUTES,100121,100.0
DEST_FRTH_ATTRIBUTES,100121,100.0
DEST_SX01,100121,100.0
DEST_SN01_ATTRIBUTES,100121,100.0
DEST_SN01,100121,100.0
DEST_SX33_ATTRIBUTES,100121,100.0
DEST_SX33,100121,100.0
DEST_SN33_ATTRIBUTES,100121,100.0
DEST_SN33,100121,100.0
DEST_WV18_ATTRIBUTES,100121,100.0
DEST_WV18,100121,100.0
DEST_DASF_ATTRIBUTES,100121,100.0
DEST_DASF,100121,100.0
DEST_SX12_ATTRIBUTES,100121,100.0
DEST_SX12,100121,100.0
DEST_SN12_ATTRIBUTES,100121,100.0
DEST_SN12,100121,100.0
DEST_SX03,100121,100.0
DEST_SX02,100121,100.0
DEST_WT17,100121,100.0
DEST_WV07_ATTRIBUTES,100121,100.0
DEST_WV01_ATTRIBUTES,100121,100.0
DEST_WV01,100121,100.0
DEST_WSFM_ATTRIBUTES,100121,100.0
DEST_WSFM,100121,100.0
DEST_WDFM_ATTRIBUTES,100121,100.0
DEST_WDFM,100121,100.0
DEST_WV03_ATTRIBUTES,100121,100.0
DEST_WV03,100121,100.0
DEST_WT22_ATTRIBUTES,100121,100.0
DEST_WT22,100121,100.0
DEST_WT21_ATTRIBUTES,100121,100.0
DEST_WT21,100121,100.0
DEST_WT19_ATTRIBUTES,100121,100.0
DEST_WT19,100121,100.0
DEST_WT17_ATTRIBUTES,100121,100.0
DEST_WV07,100121,100.0
DEST_FRGT,100121,100.0
DEST_SN53_ATTRIBUTES,100121,100.0
DEST_FRGT_ATTRIBUTES,100121,100.0
DEST_SN53,100121,100.0
DEST_SN03_ATTRIBUTES,100121,100.0
DEST_SN03,100121,100.0
DEST_SN02_ATTRIBUTES,100121,100.0
DEST_SN02,100121,100.0
DEST_ACSC_ATTRIBUTES,100121,100.0
DEST_ACSC,100121,100.0
DEST_ACMC_ATTRIBUTES,100121,100.0
DEST_ACMC,100121,100.0
DEST_WV20_ATTRIBUTES,100121,100.0
DEST_WV20,100121,100.0
DEST_WSFI_ATTRIBUTES,100121,100.0
DEST_WSFI,100121,100.0
DEST_WDFI_ATTRIBUTES,100121,100.0
DEST_WDFI,100121,100.0
ORIGIN_FRGT,100121,100.0
DEST_SX01_ATTRIBUTES,100121,100.0
ORIGIN_WV07,100121,100.0
ORIGIN_WT17_ATTRIBUTES,100121,100.0
ORIGIN_WT16_ATTRIBUTES,100121,100.0
ORIGIN_WT16,100121,100.0
ORIGIN_WSF1_ATTRIBUTES,100121,100.0
ORIGIN_WT15,100121,100.0
ORIGIN_WT14_ATTRIBUTES,100121,100.0
ORIGIN_ACMH,100121,100.0
ORIGIN_WT14,100121,100.0
ORIGIN_WT13_ATTRIBUTES,100121,100.0
ORIGIN_WT13,100121,100.0
ORIGIN_ACMH_ATTRIBUTES,100121,100.0
ORIGIN_ACSH,100121,100.0
ORIGIN_ACSH_ATTRIBUTES,100121,100.0
ORIGIN_FMTM_ATTRIBUTES,100121,100.0
ORIGIN_FMTM,100121,100.0
ORIGIN_WV01_ATTRIBUTES,100121,100.0
ORIGIN_GAHT,100121,100.0
ORIGIN_GAHT_ATTRIBUTES,100121,100.0
ORIGIN_WDF1,100121,100.0
ORIGIN_WDF1_ATTRIBUTES,100121,100.0
ORIGIN_WT17,100121,100.0
ORIGIN_WT15_ATTRIBUTES,100121,100.0
ORIGIN_WT18,100121,100.0
ORIGIN_WT22,100121,100.0
ORIGIN_WV01,100121,100.0
ORIGIN_WSFM_ATTRIBUTES,100121,100.0
ORIGIN_WSFM,100121,100.0
ORIGIN_WDFM_ATTRIBUTES,100121,100.0
ORIGIN_WDFM,100121,100.0
ORIGIN_WV03_ATTRIBUTES,100121,100.0
ORIGIN_WV03,100121,100.0
ORIGIN_WT22_ATTRIBUTES,100121,100.0
ORIGIN_WSF1,100121,100.0
ORIGIN_WT21_ATTRIBUTES,100121,100.0
ORIGIN_WT21,100121,100.0
ORIGIN_WT18_ATTRIBUTES,100121,100.0
ORIGIN_WT19,100121,100.0
ORIGIN_WT19_ATTRIBUTES,100121,100.0
DEST_WT18_ATTRIBUTES,100120,100.0
DEST_WT18,100120,100.0
ORIGIN_WT11,100120,100.0
ORIGIN_WT11_ATTRIBUTES,100120,100.0
DEST_TSUN_ATTRIBUTES,100118,100.0
DEST_TSUN,100118,100.0
DEST_PSUN_ATTRIBUTES,100117,100.0
DEST_PSUN,100117,100.0
ORIGIN_MDPR,100116,100.0
ORIGIN_MDPR_ATTRIBUTES,100116,100.0
ORIGIN_DAPR,100116,100.0
ORIGIN_DAPR_ATTRIBUTES,100116,100.0
ORIGIN_TSUN,100115,99.99
ORIGIN_TSUN_ATTRIBUTES,100115,99.99
DEST_MDPR_ATTRIBUTES,100115,99.99
ORIGIN_PSUN,100115,99.99
ORIGIN_PSUN_ATTRIBUTES,100115,99.99
DEST_MDPR,100115,99.99
DEST_DAPR,100115,99.99
DEST_DAPR_ATTRIBUTES,100115,99.99
ORIGIN_WSFG_ATTRIBUTES,100111,99.99
ORIGIN_WSFG,100111,99.99
ORIGIN_WDFG,100111,99.99
ORIGIN_WDFG_ATTRIBUTES,100111,99.99
DEST_WSFG_ATTRIBUTES,100109,99.99
DEST_WDFG,100109,99.99
DEST_WDFG_ATTRIBUTES,100109,99.99
DEST_WSFG,100109,99.99
ORIGIN_WT10_ATTRIBUTES,100098,99.98
ORIGIN_WT10,100098,99.98
DEST_WT10_ATTRIBUTES,100093,99.97
DEST_WT10,100093,99.97
DEST_WDMV,100090,99.97
DEST_WDMV_ATTRIBUTES,100090,99.97
ORIGIN_WDMV,100087,99.97
